RowId,Mean(AVERAGE_SPEED_DIFF),Mean(AVERAGE_FREE_FLOW_SPEED),Mean(AVERAGE_TIME_DIFF),Mean(AVERAGE_FREE_FLOW_TIME),Mean(AVERAGE_TEMPERATURE),Mean(AVERAGE_ATMOSP_PRESSURE),Mean(AVERAGE_HUMIDITY),Mean(AVERAGE_WIND_SPEED),Mean(AVERAGE_CLOUDINESS),Mean(AVERAGE_CONFIDENCE),Speed_Diff
1,High,40.06363636363636,42.50909090909092,66.51818181818182,18.363636363636367,1010.7272727272726,79.63636363636364,4.545454545454545,33.63636363636363,0.9109090909090907,High
2,High,40.06363636363636,42.50909090909092,66.51818181818182,18.363636363636367,1010.7272727272726,79.63636363636364,4.545454545454545,33.63636363636363,0.9109090909090907,High
3,High,40.06363636363636,42.50909090909092,66.51818181818182,18.363636363636367,1010.7272727272726,79.63636363636364,4.545454545454545,33.63636363636363,0.9109090909090907,None
4,High,39.926666666666655,25.533333333333335,66.50666666666667,18.133333333333336,1004.3333333333333,70.26666666666665,5.6000000000000005,23.666666666666668,0.8759999999999999,Medium
5,High,39.926666666666655,25.533333333333335,66.50666666666667,18.133333333333336,1004.3333333333333,70.26666666666665,5.6000000000000005,23.666666666666668,0.8759999999999999,Low
6,High,39.926666666666655,25.533333333333335,66.50666666666667,18.133333333333336,1004.3333333333333,70.26666666666665,5.6000000000000005,23.666666666666668,0.8759999999999999,None
7,Medium,39.681250000000006,36.668749999999996,66.31875000000001,19.187500000000004,1008.4374999999999,49.3125,3.0625000000000004,1.2500000000000002,0.8825000000000002,High
8,Medium,39.681250000000006,36.668749999999996,66.31875000000001,19.187500000000004,1008.4374999999999,49.3125,3.0625000000000004,1.2500000000000002,0.8825000000000002,Very_High
9,Medium,39.681250000000006,36.668749999999996,66.31875000000001,19.187500000000004,1008.4374999999999,49.3125,3.0625000000000004,1.2500000000000002,0.8825000000000002,High
10,Medium,39.681250000000006,36.668749999999996,66.31875000000001,19.187500000000004,1008.4374999999999,49.3125,3.0625000000000004,1.2500000000000002,0.8825000000000002,Medium
11,Medium,39.681250000000006,36.668749999999996,66.31875000000001,19.187500000000004,1008.4374999999999,49.3125,3.0625000000000004,1.2500000000000002,0.8825000000000002,Very_High
12,Medium,39.681250000000006,36.668749999999996,66.31875000000001,19.187500000000004,1008.4374999999999,49.3125,3.0625000000000004,1.2500000000000002,0.8825000000000002,None
13,Medium,39.99285714285715,27.642857142857142,65.08571428571429,19.571428571428577,1014.5714285714287,43.42857142857142,3.714285714285714,0.0,0.8742857142857142,High
14,Medium,39.99285714285715,27.642857142857142,65.08571428571429,19.571428571428577,1014.5714285714287,43.42857142857142,3.714285714285714,0.0,0.8742857142857142,None
15,Medium,39.99285714285715,27.642857142857142,65.08571428571429,19.571428571428577,1014.5714285714287,43.42857142857142,3.714285714285714,0.0,0.8742857142857142,None
16,Medium,39.99285714285715,27.642857142857142,65.08571428571429,19.571428571428577,1014.5714285714287,43.42857142857142,3.714285714285714,0.0,0.8742857142857142,None
17,Low,39.881249999999994,4.593749999999999,67.5125,16.0,1018.6874999999999,56.625,2.2500000000000004,0.0,0.8462500000000001,None
18,Low,39.881249999999994,4.593749999999999,67.5125,16.0,1018.6874999999999,56.625,2.2500000000000004,0.0,0.8462500000000001,Medium
19,Low,39.881249999999994,4.593749999999999,67.5125,16.0,1018.6874999999999,56.625,2.2500000000000004,0.0,0.8462500000000001,Medium
20,Low,39.881249999999994,4.593749999999999,67.5125,16.0,1018.6874999999999,56.625,2.2500000000000004,0.0,0.8462500000000001,Low
21,Medium,40.04666666666667,9.319999999999995,66.88000000000001,16.666666666666664,1018.8666666666666,72.93333333333332,4.666666666666667,7.999999999999999,0.8979999999999998,Low
22,Medium,40.04666666666667,9.319999999999995,66.88000000000001,16.666666666666664,1018.8666666666666,72.93333333333332,4.666666666666667,7.999999999999999,0.8979999999999998,Medium
23,Medium,40.04666666666667,9.319999999999995,66.88000000000001,16.666666666666664,1018.8666666666666,72.93333333333332,4.666666666666667,7.999999999999999,0.8979999999999998,Low
24,Medium,40.04666666666667,9.319999999999995,66.88000000000001,16.666666666666664,1018.8666666666666,72.93333333333332,4.666666666666667,7.999999999999999,0.8979999999999998,Low
25,Medium,40.04666666666667,9.319999999999995,66.88000000000001,16.666666666666664,1018.8666666666666,72.93333333333332,4.666666666666667,7.999999999999999,0.8979999999999998,None
