300 3 1
0.9289133544262365 0.8480982291151165 0.14469092744497603 1
0.785694042247083 0.33859977953094766 0.2768603544856417 1
0.9464627208418073 0.13230468574355092 0.3583091800999616 1
0.372341108492088 0.634670601407777 0.673616854516572 1
0.8756559657643932 0.09727996784240123 0.38619854547505483 1
0.8690446500222068 0.9265523268422801 0.9219673651749574 1
0.8745532631501827 0.05475461240255619 0.16702224825435508 1
0.7788020307441142 0.3393492881001289 0.12282524173538167 1
0.8715070007166642 0.007509620861484656 0.8550226275443924 1
0.2317073261218786 0.10181757969628613 0.12611198774154786 0
0.1891456136196542 0.09475854497325653 0.873227515904601 1
0.1574376983045055 0.8038390191762996 0.34827511327201044 1
0.6253807820876872 0.791700588640969 0.15565602216454744 1
0.7234428689364667 0.35224848915808726 0.08421451185414319 1
0.23676191656496304 0.2822761274797154 0.06203678584527661 0
0.6766027675769541 0.7590103013113053 0.21605178229642474 1
0.6610812830443396 0.8202557042345401 0.8188027168172288 1
0.15671522537668026 0.9135794849228465 0.3230463615304814 1
0.9102014196379462 0.9730521408649465 0.38211284937442414 1
0.12419364061099147 0.8139332234972896 0.38447164088288044 1
0.20004142106793 0.1711537770455004 0.6171411819709035 1
0.3277084375920952 0.2445470718958921 0.07511168326910711 0
0.7077724193595621 0.22693355134065007 0.2168270876046623 1
0.15052405009986125 0.9297739748965801 0.6345211988179829 1
0.2572245595549385 0.9237715291010392 0.791978183763709 1
0.04494666696630145 0.3431944729834342 0.9961954141583904 1
0.38569185095655045 0.9254877395207203 0.23981791291420562 1
0.11774874577839645 0.2555908316237666 0.25670637986608036 0
0.9928461412423253 0.7755758926579914 0.0723689319224392 1
0.2796982483488111 0.6812861113363909 0.6835333986399781 1
0.3109857324269859 0.9120402384261611 0.7311410587781586 1
0.26027402761185425 0.7488897862352792 0.8621725447095644 1
0.0372818371240331 0.789709856315856 0.8416824583753225 1
0.030641051728922508 0.06124513287704603 0.2052589721993806 0
0.9614886508299982 0.33810120253161746 0.14477354440625778 1
0.6044468247594738 0.6878158677856984 0.08518165826154989 1
