"userId";"rating";"imdbId"
1;4.0;"tt114709"
1;4.0;"tt113228"
1;4.0;"tt113277"
1;5.0;"tt114369"
1;5.0;"tt114814"
1;3.0;"tt116367"
1;5.0;"tt115734"
1;4.0;"tt112573"
1;5.0;"tt114287"
1;5.0;"tt109370"
1;5.0;"tt112851"
1;5.0;"tt112508"
1;3.0;"tt109445"
1;5.0;"tt109686"
1;4.0;"tt109707"
1;5.0;"tt76759"
1;3.0;"tt110912"
1;3.0;"tt111282"
1;5.0;"tt114694"
1;4.0;"tt109444"
1;4.0;"tt109830"
1;5.0;"tt110213"
1;4.0;"tt110475"
1;3.0;"tt109303"
1;4.0;"tt106677"
1;5.0;"tt106977"
1;4.0;"tt107290"
1;3.0;"tt107614"
1;5.0;"tt108052"
1;4.0;"tt108174"
1;4.0;"tt108333"
1;5.0;"tt108358"
1;4.0;"tt99348"
1;4.0;"tt96895"
1;4.0;"tt102926"
1;5.0;"tt32910"
1;5.0;"tt116282"
1;3.0;"tt117060"
1;5.0;"tt116683"
1;3.0;"tt117705"
1;4.0;"tt117500"
1;3.0;"tt117998"
1;3.0;"tt116629"
1;4.0;"tt117628"
1;5.0;"tt32138"
1;5.0;"tt33467"
1;5.0;"tt29843"
1;4.0;"tt39420"
1;5.0;"tt31679"
1;3.0;"tt72951"
1;5.0;"tt63819"
1;5.0;"tt38166"
1;5.0;"tt57546"
1;5.0;"tt33563"
1;3.0;"tt76538"
1;5.0;"tt66817"
1;5.0;"tt43274"
1;4.0;"tt117887"
1;5.0;"tt116409"
1;4.0;"tt117802"
1;5.0;"tt67992"
1;5.0;"tt79470"
1;5.0;"tt105236"
1;4.0;"tt91763"
1;5.0;"tt103772"
1;5.0;"tt83866"
1;4.0;"tt96754"
1;5.0;"tt71853"
1;5.0;"tt80684"
1;5.0;"tt93779"
1;5.0;"tt82971"
1;5.0;"tt66921"
1;4.0;"tt78788"
1;5.0;"tt86190"
1;5.0;"tt99685"
1;4.0;"tt78748"
1;2.0;"tt54215"
1;5.0;"tt80455"
1;5.0;"tt93058"
1;5.0;"tt97499"
1;5.0;"tt45061"
