"userId";"rating";"imdbId"
1;4.0;"tt0114709"
1;4.0;"tt0113228"
1;4.0;"tt0113277"
1;5.0;"tt0114369"
1;5.0;"tt0114814"
1;3.0;"tt0116367"
1;5.0;"tt0115734"
1;4.0;"tt0112573"
1;5.0;"tt0114287"
1;5.0;"tt0109370"
1;5.0;"tt0112851"
1;5.0;"tt0112508"
1;3.0;"tt0109445"
1;5.0;"tt0109686"
1;4.0;"tt0109707"
1;5.0;"tt0076759"
1;3.0;"tt0110912"
1;3.0;"tt0111282"
1;5.0;"tt0114694"
1;4.0;"tt0109444"
1;4.0;"tt0109830"
1;5.0;"tt0110213"
1;4.0;"tt0110475"
1;3.0;"tt0109303"
1;4.0;"tt0106677"
1;5.0;"tt0106977"
1;4.0;"tt0107290"
1;3.0;"tt0107614"
1;5.0;"tt0108052"
1;4.0;"tt0108174"
1;4.0;"tt0108333"
1;5.0;"tt0108358"
1;4.0;"tt0099348"
1;4.0;"tt0096895"
1;4.0;"tt0102926"
1;5.0;"tt0032910"
1;5.0;"tt0116282"
1;3.0;"tt0117060"
1;5.0;"tt0116683"
1;3.0;"tt0117705"
1;4.0;"tt0117500"
1;3.0;"tt0117998"
1;3.0;"tt0116629"
1;4.0;"tt0117628"
1;5.0;"tt0032138"
1;5.0;"tt0033467"
1;5.0;"tt0029843"
1;4.0;"tt0039420"
1;5.0;"tt0031679"
1;3.0;"tt0072951"
1;5.0;"tt0063819"
1;5.0;"tt0038166"
1;5.0;"tt0057546"
1;5.0;"tt0033563"
1;3.0;"tt0076538"
1;5.0;"tt0066817"
1;5.0;"tt0043274"
1;4.0;"tt0117887"
1;5.0;"tt0116409"
1;4.0;"tt0117802"
1;5.0;"tt0067992"
1;5.0;"tt0079470"
1;5.0;"tt0105236"
1;4.0;"tt0091763"
1;5.0;"tt0103772"
1;5.0;"tt0083866"
1;4.0;"tt0096754"
1;5.0;"tt0071853"
1;5.0;"tt0080684"
1;5.0;"tt0093779"
1;5.0;"tt0082971"
1;5.0;"tt0066921"
1;4.0;"tt0078788"
1;5.0;"tt0086190"
1;5.0;"tt0099685"
1;4.0;"tt0078748"
1;2.0;"tt0054215"
1;5.0;"tt0080455"
1;5.0;"tt0093058"
1;5.0;"tt0097499"
1;5.0;"tt0045061"
1;5.0;"tt0088247"
1;5.0;"tt0023969"
1;3.0;"tt0081505"
1;4.0;"tt0107048"
1;5.0;"tt0088763"
1;5.0;"tt0091203"
1;5.0;"tt0072431"
